pl_name,habitable
11 Com b,no (missing values)
11 UMi b,no (missing values)
14 And b,no (missing values)
14 Her b,no (missing values)
16 Cyg B b,no (missing values)
17 Sco b,no (missing values)
18 Del b,no (missing values)
1RXS J160929.1-210524 b,no (missing values)
24 Boo b,no (missing values)
24 Sex b,no (missing values)
24 Sex c,no (missing values)
2M0437 b,no (missing values)
2MASS J01033563-5515561 AB b,no (missing values)
2MASS J01225093-2439505 b,no (missing values)
2MASS J02192210-3925225 b,no (missing values)
2MASS J04414489+2301513 b,no (missing values)
2MASS J12073346-3932539 b,no (missing values)
2MASS J19383260+4603591 b,no (missing values)
2MASS J21402931+1625183 A b,no (missing values)
2MASS J22362452+4751425 b,no (missing values)
30 Ari B b,no (missing values)
4 UMa b,no (missing values)
42 Dra b,no (missing values)
47 UMa b,no (missing values)
47 UMa c,no (missing values)
47 UMa d,no (missing values)
51 Eri b,no (missing values)
51 Peg b,no (missing values)
55 Cnc b,no (missing values)
55 Cnc c,no (missing values)
55 Cnc d,no (missing values)
55 Cnc e,no (not in CHZ)
55 Cnc f,no (missing values)
6 Lyn b,no (missing values)
61 Vir b,no (missing values)
61 Vir c,no (missing values)
61 Vir d,no (missing values)
7 CMa b,no (missing values)
7 CMa c,no (missing values)
70 Vir b,no (missing values)
75 Cet b,no (missing values)
8 UMi b,no (missing values)
81 Cet b,no (missing values)
91 Aqr b,no (missing values)
AB Aur b,no (missing values)
AB Pic b,no (missing values)
AU Mic b,no (not in CHZ)
AU Mic c,no (not in CHZ)
BD+03 2562 b,no (missing values)
BD+14 4559 b,no (missing values)
BD+15 2375 b,no (missing values)
BD+15 2940 b,no (missing values)
BD+20 2457 b,no (missing values)
BD+20 2457 c,no (missing values)
BD+20 274 b,no (missing values)
BD+20 594 b,no (not in CHZ)
BD+45 564 b,no (missing values)
BD+48 738 b,no (missing values)
BD+48 740 b,no (missing values)
BD+49 828 b,no (missing values)
BD+55 362 b,no (missing values)
BD+60 1417 b,no (missing values)
BD+63 1405 b,no (missing values)
BD-00 4475 b,no (missing values)
BD-06 1339 b,no (missing values)
BD-06 1339 c,no (missing values)
BD-08 2823 b,no (missing values)
BD-08 2823 c,no (missing values)
BD-10 3166 b,no (missing values)
BD-11 4672 b,no (missing values)
BD-11 4672 c,no (missing values)
BD-13 2130 b,no (missing values)
BD-17 63 b,no (missing values)
CD Cet b,no (missing values)
CFBDSIR J145829+101343 b,no (missing values)
CFHTWIR-Oph 98 b,no (missing values)
CHXR 73 b,no (missing values)
CI Tau b,no (missing values)
COCONUTS-2 b,no (missing values)
CT Cha b,no (missing values)
CoRoT-1 b,no (missing values)
CoRoT-10 b,no (missing values)
CoRoT-11 b,no (missing values)
CoRoT-12 b,no (not in CHZ)
CoRoT-13 b,no (missing values)
CoRoT-14 b,no (missing values)
CoRoT-16 b,no (missing values)
CoRoT-17 b,no (missing values)
CoRoT-18 b,no (not in CHZ)
CoRoT-19 b,no (not in CHZ)
CoRoT-2 b,no (not in CHZ)
CoRoT-20 b,no (not in CHZ)
CoRoT-20 c,no (missing values)
CoRoT-21 b,no (missing values)
CoRoT-22 b,no (missing values)
CoRoT-23 b,no (missing values)
CoRoT-24 b,no (missing values)
CoRoT-24 c,no (missing values)
CoRoT-25 b,no (missing values)
CoRoT-26 b,no (missing values)
CoRoT-27 b,no (missing values)
CoRoT-28 b,no (missing values)
CoRoT-29 b,no (not in CHZ)
CoRoT-3 b,no (missing values)
CoRoT-30 b,no (missing values)
CoRoT-31 b,no (missing values)
CoRoT-4 b,no (missing values)
CoRoT-5 b,no (not in CHZ)
CoRoT-6 b,no (missing values)
CoRoT-7 b,no (not in CHZ)
CoRoT-7 c,no (missing values)
CoRoT-8 b,no (not in CHZ)
CoRoT-9 b,no (missing values)
CoRoTID 223977153 b,no (missing values)
DE CVn b,no (missing values)
DENIS-P J082303.1-491201 b,no (missing values)
DH Tau b,no (missing values)
DMPP-1 b,no (missing values)
DMPP-1 c,no (missing values)
DMPP-1 d,no (missing values)
DMPP-1 e,no (missing values)
DMPP-2 b,no (missing values)
DMPP-3 A b,no (missing values)
DP Leo b,no (missing values)
DS Tuc A b,no (missing values)
EPIC 201170410.02,no (missing values)
EPIC 201238110 b,no (missing values)
EPIC 201427007 b,no (missing values)
EPIC 201497682 b,no (missing values)
EPIC 201595106 b,no (missing values)
EPIC 201615463 c,no (missing values)
EPIC 201754305 d,no (missing values)
EPIC 201757695.02,no (missing values)
EPIC 201833600 c,no (missing values)
EPIC 201841433 b,no (missing values)
EPIC 205950854 c,no (missing values)
EPIC 206024342 b,no (missing values)
EPIC 206024342 c,no (missing values)
EPIC 206024342 d,no (missing values)
EPIC 206032309 b,no (missing values)
EPIC 206042996 b,no (missing values)
EPIC 206042996 c,no (missing values)
EPIC 206215704 b,no (missing values)
EPIC 206317286 b,no (missing values)
EPIC 206317286 c,no (missing values)
EPIC 211822797 b,no (missing values)
EPIC 211945201 b,no (not in CHZ)
EPIC 212297394 b,no (missing values)
EPIC 212297394 c,no (missing values)
EPIC 212424622 b,no (missing values)
EPIC 212499991 b,no (missing values)
EPIC 212587672 b,no (missing values)
EPIC 212587672 c,no (missing values)
EPIC 212624936 b,no (missing values)
EPIC 212624936 c,no (missing values)
EPIC 212737443 b,no (missing values)
EPIC 212737443 c,no (missing values)
EPIC 220492298 b,no (missing values)
EPIC 220554210 c,no (missing values)
EPIC 220674823 b,no (not in CHZ)
EPIC 220674823 c,no (not in CHZ)
EPIC 228836835 b,no (missing values)
EPIC 246851721 b,no (missing values)
EPIC 248847494 b,no (missing values)
EPIC 249893012 b,no (missing values)
EPIC 249893012 c,no (missing values)
EPIC 249893012 d,no (missing values)
FU Tau b,no (missing values)
G 264-012 b,no (missing values)
G 264-012 c,no (missing values)
G 9-40 b,no (missing values)
GJ 1061 b,no (missing values)
GJ 1061 c,no (missing values)
GJ 1061 d,no (missing values)
GJ 1132 b,no (not in CHZ)
GJ 1132 c,no (missing values)
GJ 1148 b,no (missing values)
GJ 1148 c,no (missing values)
GJ 1151 b,no (missing values)
GJ 1214 b,no (not in CHZ)
GJ 1252 b,no (missing values)
GJ 1265 b,no (missing values)
GJ 143 b,no (not in CHZ)
GJ 15 A b,no (missing values)
GJ 15 A c,no (missing values)
GJ 160.2 b,no (missing values)
GJ 163 b,no (missing values)
GJ 163 c,no (missing values)
GJ 163 d,no (missing values)
GJ 179 b,no (missing values)
GJ 180 b,no (missing values)
GJ 180 c,no (missing values)
GJ 180 d,no (missing values)
GJ 2056 b,no (missing values)
GJ 229 A c,no (missing values)
GJ 229 b,no (missing values)
GJ 251 b,no (missing values)
GJ 27.1 b,no (missing values)
GJ 273 b,no (missing values)
GJ 273 c,no (missing values)
GJ 3021 b,no (missing values)
GJ 3082 b,no (missing values)
GJ 3138 b,no (missing values)
GJ 3138 c,no (missing values)
GJ 3138 d,no (missing values)
GJ 317 b,no (missing values)
GJ 317 c,no (missing values)
GJ 328 b,no (missing values)
GJ 3293 b,no (missing values)
GJ 3293 c,no (missing values)
GJ 3293 d,no (missing values)
GJ 3293 e,no (missing values)
GJ 3323 b,no (missing values)
GJ 3323 c,no (missing values)
GJ 3341 b,no (missing values)
GJ 338 B b,no (missing values)
GJ 3470 b,no (not in CHZ)
GJ 3473 b,no (not in CHZ)
GJ 3473 c,no (missing values)
GJ 3512 b,no (missing values)
GJ 357 b,no (missing values)
GJ 357 c,no (missing values)
GJ 357 d,no (missing values)
GJ 3634 b,no (missing values)
GJ 367 b,no (not in CHZ)
GJ 3779 b,no (missing values)
GJ 3929 b,no (missing values)
GJ 393 b,no (missing values)
GJ 3942 b,no (missing values)
GJ 3998 b,no (missing values)
GJ 3998 c,no (missing values)
GJ 411 b,no (missing values)
GJ 414 A b,no (missing values)
GJ 414 A c,no (missing values)
GJ 422 b,no (missing values)
GJ 4276 b,no (missing values)
GJ 433 b,no (missing values)
GJ 433 c,no (missing values)
GJ 433 d,no (missing values)
GJ 436 b,no (not in CHZ)
GJ 480 b,no (missing values)
GJ 486 b,no (not in CHZ)
GJ 504 b,no (missing values)
GJ 514 b,no (missing values)
GJ 536 b,no (missing values)
GJ 581 b,no (missing values)
GJ 581 c,no (missing values)
GJ 581 e,no (missing values)
GJ 625 b,no (missing values)
GJ 649 b,no (missing values)
GJ 667 C b,no (missing values)
GJ 667 C c,no (missing values)
GJ 667 C e,no (missing values)
GJ 667 C f,no (missing values)
GJ 667 C g,no (missing values)
GJ 674 b,no (missing values)
GJ 676 A b,no (missing values)
GJ 676 A c,no (missing values)
GJ 676 A d,no (missing values)
GJ 676 A e,no (missing values)
GJ 682 b,no (missing values)
GJ 682 c,no (missing values)
GJ 685 b,no (missing values)
GJ 687 b,no (missing values)
GJ 687 c,no (missing values)
GJ 720 A b,no (missing values)
GJ 740 b,no (missing values)
GJ 832 b,no (missing values)
GJ 832 c,no (missing values)
GJ 849 b,no (missing values)
GJ 849 c,no (missing values)
GJ 86 b,no (missing values)
GJ 876 b,no (missing values)
GJ 876 c,no (missing values)
GJ 876 d,no (missing values)
GJ 876 e,no (missing values)
GJ 887 b,no (missing values)
GJ 887 c,no (missing values)
GJ 9066 b,no (missing values)
GJ 9066 c,no (missing values)
GJ 96 b,no (missing values)
GJ 9689 b,no (missing values)
GJ 9827 b,no (missing values)
GJ 9827 c,no (missing values)
GJ 9827 d,no (missing values)
GPX-1 b,no (not in CHZ)
GQ Lup b,no (missing values)
GSC 06214-00210 b,no (missing values)
GU Psc b,no (missing values)
Gl 378 b,no (missing values)
Gl 49 b,no (missing values)
Gl 686 b,no (missing values)
HAT-P-1 b,no (not in CHZ)
HAT-P-11 b,no (not in CHZ)
HAT-P-11 c,no (missing values)
HAT-P-12 b,no (not in CHZ)
HAT-P-13 b,no (not in CHZ)
HAT-P-13 c,no (missing values)
HAT-P-14 b,no (not in CHZ)
HAT-P-15 b,no (not in CHZ)
HAT-P-16 b,no (not in CHZ)
HAT-P-17 b,no (not in CHZ)
HAT-P-17 c,no (missing values)
HAT-P-18 b,no (not in CHZ)
HAT-P-19 b,no (not in CHZ)
HAT-P-2 b,no (not in CHZ)
HAT-P-20 b,no (not in CHZ)
HAT-P-21 b,no (not in CHZ)
HAT-P-22 b,no (not in CHZ)
HAT-P-23 b,no (not in CHZ)
HAT-P-24 b,no (not in CHZ)
HAT-P-25 b,no (not in CHZ)
HAT-P-26 b,no (not in CHZ)
HAT-P-27 b,no (not in CHZ)
HAT-P-28 b,no (not in CHZ)
HAT-P-29 b,no (not in CHZ)
HAT-P-3 b,no (not in CHZ)
HAT-P-30 b,no (not in CHZ)
HAT-P-31 b,no (not in CHZ)
HAT-P-32 b,no (not in CHZ)
HAT-P-33 b,no (not in CHZ)
HAT-P-34 b,no (not in CHZ)
HAT-P-35 b,no (not in CHZ)
HAT-P-36 b,no (not in CHZ)
HAT-P-37 b,no (not in CHZ)
HAT-P-38 b,no (not in CHZ)
HAT-P-39 b,no (not in CHZ)
HAT-P-4 b,no (not in CHZ)
HAT-P-40 b,no (not in CHZ)
HAT-P-41 b,no (not in CHZ)
HAT-P-42 b,no (not in CHZ)
HAT-P-43 b,no (not in CHZ)
HAT-P-44 b,no (not in CHZ)
HAT-P-44 c,no (missing values)
HAT-P-45 b,no (not in CHZ)
HAT-P-46 b,no (not in CHZ)
HAT-P-49 b,no (not in CHZ)
HAT-P-5 b,no (not in CHZ)
HAT-P-50 b,no (not in CHZ)
HAT-P-51 b,no (not in CHZ)
HAT-P-52 b,no (not in CHZ)
HAT-P-53 b,no (not in CHZ)
HAT-P-54 b,no (not in CHZ)
