number,pl_name
1,BD+14 4559 b
2,BD-06 1339 c
3,GJ 3293 c
4,GJ 3323 c
5,GJ 876 c
6,HD 10180 g
7,HD 103891 b
8,HD 10442 b
9,HD 10697 b
10,HD 109286 b
11,HD 114729 b
12,HD 125612 b
13,HD 128356 b
14,HD 132406 b
15,HD 137388 b
16,HD 13908 c
17,HD 141937 b
18,HD 142415 b
19,HD 147513 b
20,HD 159868 b
21,HD 1605 c
22,HD 16175 b
23,HD 163607 c
24,HD 165155 b
25,HD 17674 b
26,HD 18015 b
27,HD 181720 b
28,HD 183263 b
29,HD 190647 b
30,HD 213240 b
31,HD 214823 b
32,HD 219415 b
33,HD 221585 b
34,HD 222582 b
35,HD 23079 b
36,HD 23127 b
37,HD 27969 b
38,HD 34445 b
39,HD 43197 b
40,HD 564 b
41,HD 65216 b
42,HD 9174 b
43,KELT-6 c
44,KIC 9663113 b
45,Kapteyn c
46,Kepler-1318 b
47,Kepler-16 b
48,Kepler-1600 b
49,Kepler-1647 b
50,Kepler-1649 c
51,Kepler-1704 b
52,Kepler-174 d
53,Kepler-1868 b
54,Kepler-440 b
55,Kepler-454 c
56,Kepler-553 c
57,Kepler-68 d
58,WASP-41 c
59,WASP-47 c
60,Wolf 1061 d
