number,pl_name
1,HD 210277 b
2,HD 10697 b
3,HD 38529 c
4,HD 114783 b
5,HD 141937 b
6,HD 114729 b
7,HD 142415 b
8,HD 147513 b
9,HD 183263 b
10,HD 159868 b
11,HD 23127 b
12,HD 190647 b
13,HD 132406 b
14,HD 125612 b
15,HD 16175 b
16,HD 73534 b
17,BD+14 4559 b
18,HD 181720 b
19,GJ 876 e
20,HD 34445 b
21,HD 43197 b
22,HD 10180 g
23,Kepler-16 b
24,HD 137388 b
25,HD 163607 c
26,HD 219415 b
27,Kepler-47 c
28,BD-06 1339 c
29,HD 13908 c
30,HD 141399 d
31,Kapteyn c
32,GJ 3293 c
33,HD 564 b
34,HD 1605 c
35,WASP-41 c
36,KELT-6 c
37,WASP-47 c
38,KIC 9663113 b
39,Kepler-454 c
40,Wolf 1061 d
41,Kepler-1086 c
42,Kepler-553 c
43,Kepler-1635 b
44,HD 214823 b
45,HD 221585 b
46,Kepler-1647 b
47,HD 165155 b
48,HD 9174 b
49,HD 128356 b
50,HD 17674 b
51,GJ 3323 c
52,HD 18015 b
53,HD 27969 b
54,HD 109286 b
55,Kepler-1704 b
56,HD 103891 b
