pl_name,habitable

11 Com b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

11 UMi b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

14 And b,CHZ invalid |  Kepler invalid (not enough data)

14 Her b,CHZ invalid |  Kepler invalid (not enough data)

16 Cyg B b,CHZ invalid |  Kepler invalid (not enough data)

17 Sco b,CHZ invalid |  Kepler invalid (not enough data)

18 Del b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

1RXS J160929.1-210524 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

24 Boo b,CHZ invalid |  Kepler invalid (not enough data)

24 Sex b,CHZ valid |  Kepler invalid (not enough data)

24 Sex c,CHZ invalid |  Kepler invalid (not enough data)

2M0437 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

2MASS J01033563-5515561 AB b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

2MASS J01225093-2439505 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

2MASS J02192210-3925225 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

2MASS J04414489+2301513 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

2MASS J12073346-3932539 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

2MASS J19383260+4603591 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

2MASS J21402931+1625183 A b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

2MASS J22362452+4751425 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

30 Ari B b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

4 UMa b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

42 Dra b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

47 UMa b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

47 UMa c,CHZ invalid |  Kepler invalid (not enough data)

47 UMa d,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

51 Eri b,CHZ invalid |  Kepler invalid (not enough data)

51 Peg b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

55 Cnc b,CHZ invalid |  Kepler invalid (not enough data)

55 Cnc c,CHZ invalid |  Kepler invalid (not enough data)

55 Cnc d,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

55 Cnc e,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

55 Cnc f,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

6 Lyn b,CHZ invalid |  Kepler invalid (not enough data)

61 Vir b,CHZ invalid |  Kepler invalid (not enough data)

61 Vir c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

61 Vir d,CHZ invalid |  Kepler invalid (not enough data)

7 CMa b,CHZ invalid |  Kepler invalid (not enough data)

7 CMa c,CHZ invalid |  Kepler invalid (not enough data)

70 Vir b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

75 Cet b,CHZ valid |  Kepler invalid (not enough data)

8 UMi b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

81 Cet b,CHZ invalid |  Kepler invalid (not enough data)

91 Aqr b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

AB Aur b,CHZ invalid |  Kepler invalid (not enough data)

AB Pic b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

AU Mic b,CHZ invalid (not enough data) |  Kepler invalid

AU Mic c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

BD+03 2562 b,CHZ invalid |  Kepler invalid (not enough data)

BD+14 4559 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

BD+15 2375 b,CHZ invalid |  Kepler invalid (not enough data)

BD+15 2940 b,CHZ invalid |  Kepler invalid (not enough data)

BD+20 2457 b,CHZ invalid |  Kepler invalid (not enough data)

BD+20 2457 c,CHZ valid |  Kepler invalid (not enough data)

BD+20 274 b,CHZ invalid |  Kepler invalid (not enough data)

BD+20 594 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

BD+45 564 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

BD+48 738 b,CHZ invalid |  Kepler invalid (not enough data)

BD+48 740 b,CHZ invalid |  Kepler invalid (not enough data)

BD+49 828 b,CHZ invalid |  Kepler invalid (not enough data)

BD+55 362 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

BD+60 1417 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

BD+63 1405 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

BD-00 4475 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

BD-06 1339 b,CHZ invalid |  Kepler invalid (not enough data)

BD-06 1339 c,CHZ invalid |  Kepler invalid (not enough data)

BD-08 2823 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

BD-08 2823 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

BD-10 3166 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

BD-11 4672 b,CHZ invalid |  Kepler invalid (not enough data)

BD-11 4672 c,CHZ invalid |  Kepler invalid (not enough data)

BD-13 2130 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

BD-17 63 b,CHZ invalid |  Kepler invalid (not enough data)

CD Cet b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

CFBDSIR J145829+101343 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

CFHTWIR-Oph 98 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

CHXR 73 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

CI Tau b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

COCONUTS-2 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

CT Cha b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

CoRoT-1 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

CoRoT-10 b,CHZ invalid (not enough data) |  Kepler invalid

CoRoT-11 b,CHZ invalid (not enough data) |  Kepler invalid

CoRoT-12 b,CHZ invalid (not enough data) |  Kepler invalid

CoRoT-13 b,CHZ invalid (not enough data) |  Kepler invalid

CoRoT-14 b,CHZ invalid (not enough data) |  Kepler invalid

CoRoT-16 b,CHZ invalid (not enough data) |  Kepler invalid

CoRoT-17 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

CoRoT-18 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

CoRoT-19 b,CHZ invalid (not enough data) |  Kepler invalid

CoRoT-2 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

CoRoT-20 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

CoRoT-20 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

CoRoT-21 b,CHZ invalid (not enough data) |  Kepler invalid

CoRoT-22 b,CHZ invalid (not enough data) |  Kepler invalid

CoRoT-23 b,CHZ invalid (not enough data) |  Kepler invalid

CoRoT-24 b,CHZ invalid (not enough data) |  Kepler invalid

CoRoT-24 c,CHZ invalid (not enough data) |  Kepler invalid

CoRoT-25 b,CHZ invalid (not enough data) |  Kepler invalid

CoRoT-26 b,CHZ invalid (not enough data) |  Kepler invalid

CoRoT-27 b,CHZ invalid (not enough data) |  Kepler invalid

CoRoT-28 b,CHZ invalid (not enough data) |  Kepler invalid

CoRoT-29 b,CHZ invalid (not enough data) |  Kepler invalid

CoRoT-3 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

CoRoT-30 b,CHZ invalid (not enough data) |  Kepler invalid

CoRoT-31 b,CHZ invalid (not enough data) |  Kepler invalid

CoRoT-4 b,CHZ invalid (not enough data) |  Kepler invalid

CoRoT-5 b,CHZ invalid (not enough data) |  Kepler invalid

CoRoT-6 b,CHZ invalid (not enough data) |  Kepler invalid

CoRoT-7 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

CoRoT-7 c,CHZ invalid |  Kepler invalid (not enough data)

CoRoT-8 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

CoRoT-9 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

CoRoTID 223977153 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

DE CVn b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

DENIS-P J082303.1-491201 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

DH Tau b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

DMPP-1 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

DMPP-1 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

DMPP-1 d,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

DMPP-1 e,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

DMPP-2 b,CHZ invalid |  Kepler invalid (not enough data)

DMPP-3 A b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

DP Leo b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

DS Tuc A b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 201170410.02,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 201238110 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 201427007 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 201497682 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 201595106 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 201615463 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 201754305 d,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 201757695.02,CHZ invalid |  Kepler invalid (not enough data)

EPIC 201833600 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 201841433 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 205950854 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 206024342 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 206024342 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 206024342 d,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 206032309 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 206042996 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 206042996 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 206215704 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 206317286 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 206317286 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 211822797 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 211945201 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 212297394 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 212297394 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 212424622 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 212499991 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 212587672 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 212587672 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 212624936 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 212624936 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 212737443 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 212737443 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 220492298 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 220554210 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 220674823 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 220674823 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 228836835 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 246851721 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 248847494 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

EPIC 249893012 b,CHZ invalid (not enough data) |  Kepler valid

EPIC 249893012 c,CHZ invalid (not enough data) |  Kepler invalid

EPIC 249893012 d,CHZ invalid (not enough data) |  Kepler invalid

FU Tau b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

G 264-012 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

G 264-012 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

G 9-40 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 1061 b,CHZ invalid |  Kepler invalid (not enough data)

GJ 1061 c,CHZ invalid |  Kepler invalid (not enough data)

GJ 1061 d,CHZ invalid |  Kepler invalid (not enough data)

GJ 1132 b,CHZ invalid (not enough data) |  Kepler valid

GJ 1132 c,CHZ invalid |  Kepler invalid (not enough data)

GJ 1148 b,CHZ invalid |  Kepler invalid (not enough data)

GJ 1148 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 1151 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 1214 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 1252 b,CHZ invalid |  Kepler invalid (not enough data)

